106,108,39,91
151,106,39,94
193,107,38,91
237,107,38,91
281,105,36,92
281,105,36,92
324,108,37,90
367,107,38,89
411,105,35,92
453,107,37,89
497,106,37,90
541,107,36,88
584,107,39,90
627,105,36,91
670,107,37,90
713,107,38,91
757,107,37,91
799,107,36,91
842,108,38,90
885,109,37,89
927,108,38,90
971,109,37,89
1015,113,35,85
1056,112,35,87
1097,110,37,91
108,205,35,88
151,204,37,90
194,203,37,94
237,202,38,93
281,202,36,94
322,202,40,93
366,202,39,94
410,202,37,94
453,201,37,95
495,200,40,97
539,201,39,95
583,200,40,95
628,201,36,96
669,202,39,92
714,202,37,92
756,202,38,94
799,202,37,93
840,202,40,92
885,203,37,91
927,203,38,92
971,203,36,93
1013,203,39,92
1056,204,34,93
1096,205,38,92
107,408,38,86
140,409,38,85
193,405,37,89
237,407,38,88
280,405,37,89
322,406,38,88
365,407,38,87
408,407,39,87
452,406,38,88
495,405,38,89
538,405,39,89
582,407,38,88
626,406,37,88
668,406,37,87
712,406,37,88
754,405,39,88
799,403,36,91
841,405,36,89
883,405,39,89
926,407,38,87
969,407,37,88
1010,406,39,89
1053,407,37,89
1090,405,40,90
106,499,38,93
150,499,38,90
194,499,37,90
236,499,39,87
279,498,39,92
323,499,37,91
364,500,39,90
409,499,37,90
451,498,38,93
496,505,35,85
539,499,37,91
581,500,39,88
625,499,37,88
668,500,37,87
712,498,36,90
753,498,38,91
799,498,36,90
840,500,38,89
884,501,37,87
926,501,36,87
968,500,37,86
1011,501,37,86
1054,498,35,89
1093,499,44,90
